Title,Type,Description,Level,Rating,Skills Covered,Prerequisites,Instructor
Data Engineering with AWS,nanodegree,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.",intermediate,4.6,"AWS Glue,  Amazon S3,  AWS Data Warehouse,  Redshift,  Apache Airflow,  Data Pipeline DAGs,  Data Extraction,  Data Pipeline Creation,  ETL,  OLAP Cubes,  Data Warehouse Architecture,  Cloud Computing Fluency,  Data Pipeline Maintenance","Intermediate Python, intermediate SQL & command line",https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
Product Manager,nanodegree,"Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.",beginner,4.7,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch",No Experience Required,https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
C++,nanodegree,Get hands-on experience building five real-world projects in this popular general-purpose programming language.,intermediate,4.5,"Data Structures & Algorithms, Memory Management, Concurrency, Object-oriented Programming, C++",Intermediate Programming,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg
Business Analytics,nanodegree,"Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.",beginner,4.8,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards",None,https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Data Scientist,nanodegree,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.",advanced,4.7,"Machine Learning, Deep Learning, Software Engineering","Python, SQL & Statistics",https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
Introduction to Programming,nanodegree,"A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.",beginner,4.7,"Front-End Development Basics,  HTML,  CSS,  Python Syntax,  Text Processing in Python,  DevTools,  Command Line Interface Basics,  Code Debugging,  Basic JavaScript scripts,  JavaScript Functions,  JavaScript arrays,  JavaScript objects",No coding experience needed,https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Digital Marketing,,Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.,beginner,4.7,"Digital Marketing,  Marketing fundamentals,  Google Analytics,  Social Media Marketing,  Facebook Marketing,  Search Engine Optimization,  Search Engine Marketing,  Digital marketing metrics,  Display Ads,  Video advertising,  Email marketing,  Branding strategy",No Experience Required.,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg
Data Analyst,,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.",intermediate,4.6,"Data Wrangling, Matplotlib, Bootstrapping, Pandas & NumPy, Statistics",Python & SQL,https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Deep Learning,,Deep learning is driving advances in artificial intelligence that are changing our world—enroll now and learn to build and apply your own deep neural networks.,intermediate,4.7,"Neural Networks,  Perceptron,  Autoencoders,  Convolutional Neural Networks,  PyTorch,  Object Detection,  Recurrent Neural Networks,  Long-short term Memory Networks,  Backpropagation,  Generative Adversarial Networks,  Deep Learning Techniques,  Image Generation,  Hyperparameter Tuning",Intermediate Python,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Programming for Data Science with Python,,"Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.",beginner,4.7,"Python, Numpy & Pandas, SQL, Git & GitHub",None,https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
Full Stack Web Developer,,"Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.",intermediate,4.5,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes","Prior experience with Python, CSS/HTML, and Git",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
AWS Machine Learning Engineer,nanodegree,Learn the data science and machine learning skills required to build and deploy machine learning models in production using Amazon SageMaker.,intermediate,4.7,"Feature Engineering,  Machine Learning Fluency,  Data Loading with SageMaker,  Amazon S3,  Neural Network Basics,  Deep Learning Fluency,  Hyperparameter Tuning,  Machine Learning Framework Fundamentals,  SageMaker JumpStart,  Cloud Resource Allocation,  Distributed Model Training with SageMaker,  AWS Lambda",Basic knowledge of machine learning algorithms and Python programming,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg
SQL,nanodegree,"Master SQL, the core language for big data analysis, to enable insight-driven decision-making and strategy.",beginner,4.6,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases",Basic understanding of data types,https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Machine Learning DevOps Engineer,nanodegree,Gain the DevOps skills required to automate the various aspects and stages of building and monitoring machine learning models.,advanced,4.6,"API development,  Automated model scoring,  CI/CD,  Model testing,  Data Version Control,  Machine Learning Pipelines",Prior experience with Python and Machine Learning,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Artificial Intelligence for Trading,nanodegree,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.",intermediate,4.6,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks",Python & Mathematics,https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
React,nanodegree,Learn to build declarative user interfaces for the web with React as well as manage state more predictably in your applications with Redux.,intermediate,4.7,"React Component State,  React Router,  React Hooks,  JavaScript Functions,  Application State Management with Redux,  React-Redux Bindings,  React Component State,  Fetching Data,  React Native Basics,  Data Lifecycle Management,  Jest,  React-Redux Bindings,  React Design Patterns,  Software Testing","HTML & CSS, JavaScript, Asynchronous JavaScript (AJAX) and Web forms",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Self-Driving Car Engineer,nanodegree,Learn the techniques that power self-driving cars across the full stack of a vehicle’s autonomous capabilities.,advanced,,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars, Path Planning and Control","Python, C++, Linear Algebra and Calculus",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg
Java Developer,nanodegree,"Learn back-end development with Java, one of the most popular programming languages in the world.",intermediate,4.5,"Java, Spring Boot, Rest API, MySQL, MongoDB",Intermediate knowledge of Java,https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Data Engineering with Microsoft Azure ,nanodegree,Master job-ready Azure skills like designing data models and utilizing other in-demand components of the cloud computing service.,intermediate,,"Database Normalization,  Data Modeling Basics,  PostgreSQL,  SQL and SQL scripting, Denormalized Data Schemas,  Relational data modeling,  OLAP Cubes,  Data Warehouse Architecture,  Data Extraction,  Big Data Fluency,  Apache Spark,  Data Lakes,  Apache Airflow,  Azure Pipelines","Experience with SQL, Python, Azure, and Github",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
AI Programming with Python,nanodegree,"Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebra—the foundations for building your own neural network.",beginner,4.7,"Python, NumPy, Pandas, Matplotlib, PyTorch",Basic Algebra and Programming Knowledge,https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Data Product Manager,nanodegree,Apply data science best practices to build products that deliver the right experience to the right users—at the right time.,intermediate,4.3,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps",Prior Data Analysis & Product Management Experience Recommended,https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
Intermediate Python,nanodegree,"Learn how to plan, design, and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",intermediate,4.4,"Python, Object-oriented programming, Modular code, Python Package Index",Basic Python,https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
Intro to AJAX,free,"Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!",intermediate,,"Asynchronous requests with JavaScript, Data APIs, Web Applications, Site Customization",,
Intro to Algorithms,free,"This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected.",intermediate,,"Algorithms, Social Networks, Graph Algorithms",,
High Performance Computing,free,"This course will give you solid foundations for developing, analyzing, and implementing parallel and locality-efficient algorithms.  Offered at Georgia Tech as CS6220",advanced,,"Shared Memory Models, Parallel Algorithms, Distributed Memory Models, Message Passing Interfaces, Hierarchical Memory Models",,